Unified Name,Unified ID,Unified Publisher Name,Unified Publisher ID,Date,Platform,Category,Downloads (Absolute),Downloads (PoP Growth),Downloads (PoP Growth %),Revenue (Absolute),Revenue (PoP Growth),Revenue (PoP Growth %),DAU (Absolute),DAU (PoP Growth),DAU (PoP Growth %),Game Genre,Game Sub-genre,Earliest Release Date,All Time Downloads (US),All Time Downloads (WW),All Time Revenue (US),All Time Revenue (WW),Advertised on Any Network
Vita Mahjong,656ab40b40beda73acd1f0c4,Vita Studio,6459b09cfbea7c79994f1aba,2025-12-29,Unified,Games,3688873,619164,0.201701,36919.8,1223.63,0.034279,8645782.0,157718.0,0.018581,Puzzle,Match Pair,2023/12/01,25325567,186391352,$791172,$1550529,Active
Ludo King,58560c3c3e9f537010000227,Gametion,55f895f48ac350426b044aa8,2025-12-29,Unified,Games,3452752,210698,0.064989,60205.14,-3165.85,-0.049957,9815941.0,507408.0,0.05451,Tabletop,Board,2016/02/20,9109735,1337765536,$1389577,$15206021,Inactive (< last 28 Days)
Mahjong - Royal Tiles,685cc42382f7e9467051476b,Nebula Studio,67b47d5327e2c1851797ba24,2025-12-29,Unified,Games,3339504,-239464,-0.066909,0.0,0.0,,1486717.0,281810.0,0.233885,Puzzle,Match Pair,2025/06/23,1964454,23255272,$0,$0,Active
8 Ball Pool,6478d3edb3ae272847ad30f8,Miniclip,65670b56ad4adb650837a435,2025-12-29,Unified,Games,2127374,-77296,-0.03506,1377946.63,80472.41,0.062022,8815062.0,-86576.0,-0.009726,Sports,Realistic Sports,2013/01/23,160114976,1350464512,$409383040,$858419136,Active
Happy Color: Coloring Book,5a695569a3f5793ecc279a5f,X-Flow,5b2ab3e1b8d1243541e08991,2025-12-29,Unified,Games,1602385,-115545,-0.067258,29293.36,1573.08,0.056748,5584461.0,26651.0,0.004795,Tabletop,Drawing & Coloring,2018/01/24,58010722,367337304,$4451424,$7139442,Active
Color by Number：Coloring Games,5a2a2d2a0211a661076c129a,Wildlife Studios,5614e08d3f07e25d2901b7e7,2025-12-29,Unified,Games,1382459,173269,0.143293,278595.19,20202.26,0.078184,1104187.0,96598.0,0.09587,Tabletop,Drawing & Coloring,2017/12/06,41508327,172389888,$58753743,$97652479,Active
Rope Escape Master,68dddcbcd5a13bf88e7ea584,PoseidonJoy,67cf3d9d432fae4314163f4f,2025-12-29,Unified,Games,1320176,877198,1.980229,11654.96,9890.85,5.606708,224787.0,109828.0,0.955367,Puzzle,Sort,2025/09/30,535198,6158175,$29930,$90780,Active
Tic Tac Toe 2 Player: XO Game,62ccc97e2835a4088252e32f,Onetap Global,66e49e03ef947792202cd239,2025-12-29,Unified,Games,1048712,123927,0.134006,0.0,0.0,,1688936.0,212046.0,0.143576,Puzzle,Other Puzzle,2022/07/26,2255274,122189659,$0,$0,Active
Art Puzzle - Jigsaw Art Games,5f56df81fdad6c478da03f37,Miniclip,65670b56ad4adb650837a435,2025-12-29,Unified,Games,914064,91350,0.111035,7594.59,3329.72,0.780732,1512091.0,119305.0,0.085659,Puzzle,Jigsaw,2020/09/07,13478260,156393714,$226570,$610476,Active
MONOPOLY GO!,62be6a5fbab10c69c5a0a42a,Scopely,560c44e48ac3506439005117,2025-12-29,Unified,Games,809645,69703,0.094201,23918491.34,-2264613.17,-0.086491,5818964.0,-128126.0,-0.021544,Casino,Coin Looters,2022/06/30,64443968,193941912,$3243551744,$4302901632,Active
Ludo Supreme Gold King - Zupee,64df45f8e45a4e29e41b470b,Zupee (Cashgrail Private Limited),66f7ded621ae9d804a507688,2025-12-29,Unified,Games,730542,-4102,-0.005584,23.99,5.52,0.298863,691134.0,-38948.0,-0.053347,Tabletop,Board,2020/05/05,0,128260890,$0,$305,Active
Tile Park - Matching Puzzle,66aad243108dac5efabea134,Funvent Studios,6721d46efc576bfd6c44a187,2025-12-29,Unified,Games,713277,3029,0.004265,1438.25,-90.49,-0.059193,1595686.0,93921.0,0.06254,Puzzle,Match Pair,2024/07/30,301896,45148331,$5517,$93989,Active
